Popularity,Title,Genre,User Rating,Number of Votes,Runtime,Year,Summary,Director,Stars,Certificate
1995,G-Force,"Animation, Action, Adventure",5.8,244,,2009,"G-Force draws you into the adventures of an elite team of trained guinea pigs on a mission to thwart a sinister plot to destroy the world. Take control of both G-Force commander Darwin and his sidekick, Mooch, as they apply their talents to defeat an evil army of altered household appliances.","Justin Villiers,","Dee Bradley Baker, Charlie Boyle, Jon Favreau, Zach Galifianakis",E10+
1996,Forgotten Warrior,"Action, Adventure, Fantasy",,,,2004,Forgotten Warrior is an action game which came pre-installed on certain models of Samsung mobile phones. The premise of the game is simple: a boy loves a girl; when the boy is asleep an evil gang kidnaps the girl. The boy is awakened by his brother who tells him what has happened and instructs him along the way.,,nan,
1997,Deus Ex: Human Revolution - Director's Cut,"Action, Adventure, Drama",8.7,221,,2013,"The year is 2027. It is a time of great innovation and technological advancement. It is also a time of chaos and conspiracy. Corporations have more power than the government. Everyone is fighting for power, for control. Adam Jensen wakes up, after a brutal attack at Sarif Industries, where his lover goes missing. He finds himself with cybernetic limbs, and enhancements in his body, that he never asked for. His life turned upside down, is a reflection of the state of the world, as secret societies rule the world from behind the scenes. Adam now enhanced, with an understanding of the shadow figures who pull the strings, he sets out to reveal the truth behind what is happening in our world.","Jean-François Dugas, Blade Zavier,","Elias Toufexis, Stephen Shellen, Andreas Apergis, Michelle Boback",M
1998,Robotech: Battlecry,"Action, Sci-Fi",8,86,,2002,"Robotech: Battlecry tells the entire Macross saga of Robotech, from the first contact with the Zentraedi invasion force over the skies of Macross city, to the final battle between human and Zentraedi in the scorched ruins of Earth. The player takes the role of Jack Archer, an ace Veritech pilot in the SDF. His missions range from hunting down and destroying Zentraedi Lieutenants in destroyed cities to defending shuttles traveling through deep space wreckage fields.",,"Cam Clarke, Rebecca Forstadt, Melora Harte, Steve Kramer",T
1999,Hellraiser,"Action, Adventure, Horror",7.4,48,,1991,"Locked inside the infamous puzzle box, the gamer needs to fight cenobites and other monsters on each level of hell to open a section of the box. The game was never finished but remains a cult urban legend through gamers and fans of franchise.",,Dan Lawton,
2000,Hotel Mario,"Action, Fantasy, Mystery",5.1,575,,1994,Bowser has kidnapped Princess Peach and has hidden her in one of his Koopalings' hotels. Mario and Luigi must go to each and attempt to find her by running through the hotels and closing the doors.,,"Marc Graue, Jocelyn Benford, Jean Berger, Roger Carel",16+
2001,The Lord of the Rings: Aragorn's Quest,"Action, Adventure, Fantasy",6.6,164,,2010,Relive the adventure of The Lord Of The Rings Trilogy through Samwise Gamgee's memory of Aragorn and his virtues.,"Jon Burton,","Sean Astin, Eric Artell, John Rhys-Davies, Deborah Baker Jr.",E10+
2002,Ben 10: Alien Force,"Animation, Action, Adventure",5.9,178,,2008,"Play as Ben, Gwen and Kevin in this exciting new game based on the hit cartoon television series, Fight enemies from the show including Forever Knights, Xenocities, DNAliens and Highbreed, And feel the power of the Omnitrix.",,"Yuri Lowenthal, Ashley Johnson, Greg Cipes, Dee Bradley Baker",E10+
2003,Total War: Warhammer,"Action, Adventure, Fantasy",7.7,298,,2016,Best strategy game with special effects and awesome battle experience.,"Ian Roxburgh, Michael M. Simpson,","Christopher Adams, Gareth Armstrong, Richard Attlee, Stephen Beckett",T
2004,Kingdom Hearts HD 1.5 + 2.5 Remix,"Action, Adventure, Family",9.3,691,,2017,A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,"Tetsuya Nomura, Tai Yasue,","Haley Joel Osment, Hayden Panettiere, David Gallagher, Billy Zane",E10+
2005,Castlevania II: Simon's Quest,"Action, Adventure, Fantasy",6.8,597,,1987,"Simon Belmont discovers that, even though he defeated Count Dracula in the original Castlevania, he is now under Dracula's curse and must collect Dracula's body parts and fight him again.",,Hitoshi Akamatsu,Unrated
2006,The Binding of Isaac,"Action, Adventure, Comedy",7.2,632,,2011,A young boy has to travel through his basement in order to escape his mom.,"Florian Himsl, Edmund McMillen,","Matthias Bossi, Carla Kihlstedt",16+
2007,Gears Tactics,"Action, Sci-Fi, War",7.2,173,,2020,"Set 12 years before the first Gears of War. Cities on the planet Sera are beginning to fall to the monstrous threat rising from the Locust Horde. With the government in disarray, a squad of survivors emerge as humanity's last hope.","Paul Johnson,","Kristen Alminta, Jennifer Armour, Noshir Dalal, Kirsten Foster",18
2008,Adventure Time: Finn & Jake Investigations,"Animation, Action, Adventure",7.1,71,,2015,"BMO broke Finn Favorite Record and while BMO tries to fix it, Finn and Jake Investigate Cases all Around Ooo will they be able to solve them all and fix Finn Favorite Record?","Dave Ellis,","Eric Bauza, Jessica DiCicco, John DiMaggio, Keith Ferguson",E10+
2009,Daemon X Machina,"Action, Adventure, Sci-Fi",6.5,32,,2019,"""Reclaimer"" mercenaries, including you, are tasked with completing missions to both ensure mankind's survival against rogue AI and ""Immortals"", and ensure a good payout, in a devastated future Earth.","Ken Awata, Jun'ichi Wada,","Yûko Kaida, Satoshi Mikami, Sumire Uesaka, Masaki Terasoma",T
2010,Constantine,"Action, Adventure, Fantasy",7.3,368,,2005,John Constantine must fight demons and monsters from the underworld.,"Dylan Beale,","William Hope, Tilda Swinton, Vanessa Marshall, Gavin Rossdale",M
2011,Astral Chain,"Action, Adventure, Crime",7.6,212,,2019,"Humanity's last chance against an interdimensional invasion is a special living weapon called the Legion. As a rookie officer in the elite police task force Neuron, you and your Legion will work together to solve cases and save humankind.","Takahisa Taura, Kaori Ando, Makoto Okazaki,","Nobunaga Shimazaki, Chika Anzai, Takaya Hashi, Yûko Kaida",T
2012,Call of Juarez,"Action, Adventure, Drama",7.6,823,,2006,"Texas, 1882. A place where one wrong glance earns you a bullet in the gut. Where young Billy Candle stands wrongly accused of murder, and his very own Uncle Ray swears a holy oath to hunt him down and deliver justice at the point of a gun.",,"Ralph Alan Steadman, Miles Phillips, Tom Todoroff, Sanford Orkin",M
2013,"Monsters, Inc.: The Video Game","Action, Adventure, Family",7.4,938,,2001,Join Mike and Sulley as they try to put Boo back to her door.,"Douglas Carrigan,","Brian Cummings, Carlos Alazraqui, Steve Buscemi, Greg Berg",E
2014,Primal,"Action, Adventure, Drama",7.5,226,,2003,A spunky goth girl discovers her destiny: to restore the balance to the primal forces of existance with the aide of a magical gargoyle and the dormant power within her.,,"Hudson Leick, Andreas Katsulas, Sean Pertwee, Paul Darrow",M
2015,The Walking Dead: No Man's Land,"Action, Adventure, Horror",7.4,142,,2015,"Stay human and survive in the dangerous world of AMC's The Walking Dead. Trained by Daryl Dixon, your group will fight the walker menace and save other survivors from Terminus to the Prison.",,Norman Reedus,M
2016,Silent Hill HD Collection,"Action, Fantasy, Horror",6.7,177,,2012,,"Keith Arem, Tomm Hulett, Takayuki Kobayashi, Kazuhide Nakazawa,","Guy Cihi, Monica Horgan, Donna Burke, David Schaufele",M
2017,Dead or Alive 4,"Action, Mystery, Sci-Fi",7.5,345,,2005,The fourth installment in the Dead or Alive series continues in a similar vein of fighting game. Delivering another dose of combo heavy action set in a variety of highly interactive locations and new characters.,"Katsunori Ehara, Tomonobu Itagaki, Hiroaki Matsui,","Yuka Koyama, Houko Kuwashima, Hideyuki Hori, Ayako Kawasumi",M
2018,Jak and Daxter: The Lost Frontier,"Action, Adventure, Comedy",6.2,259,,2009,"Jak, Daxter and Kiera travel to the Brink -- the edge of the known world -- to investigate the recent Eco shortage, and end up caught up in a struggle between the region's inhabitants and a group of Sky Pirates.",,"Josh Keaton, Tara Strong, Max Casella, Phil LaMarr",E10+
2019,Slay the Spire,"Action, Adventure, Fantasy",7.7,299,,2019,It's a combination of roguelike-like gameplay with a deck-building card game. It requires players to develop a strategy for their deck on the fly based on the cards they can obtain from loot.,"Anthony Giovannetti,","Tamara Ryan, Michael Schwalbe",T
2020,Star Wars: The Clone Wars,"Action, Adventure, Sci-Fi",6.6,449,,2002,"One month after the Battle of Geonosis, the Republic detects unusual activity on Raxus Prime, and sends a strike force led by Anakin Skywalker and Obi-Wan Kenobi to investigate the activity.","Greg Borrud,","Grey Griffin, Mat Lucas, Corey Burton, André Sogliuzzo",T
2021,Rambo: The Video Game,"Action, Adventure",3.1,142,,2014,"The game takes place during the first three Rambo movies in an action, thrilling, explosive game","Piotr Latocha,","William Roberts, Duong Hoang, Gennady Alasheev, Ian Porter",M
2022,Super Mario Run,"Action, Adventure, Family",6.1,387,,2016,"Play as Mario in a action-packed game as you run, jump, and defeat creatures. Mario runs automatically, while a 60 second timer goes off. Defeat Bowser, monsters, goombas, and more.","Takashi Tezuka,","Charles Martinet, Samantha Kelly, Kenny James, Kazumi Totaka",E
2023,Rugrats: Search for Reptar,"Action, Adventure, Family",7.6,101,104 min,1998,"Tommy, with the help of his fellow Rugrats, must find the missing pieces of his Reptar puzzle, through a series of vignette-style adventures and mini-games.","Jim Duffy,","Joe Alaskey, Steve Bulen, Christine Cavanaugh, Melanie Chartoff",E
2024,Crash Bandicoot: On the Run!,"Action, Family",5.4,70,,2021,"Dr. Neo Cortex has dispatched iconic villains across the multiverse to take control of all dimensions. With the help of his sister Coco, Crash must bash Cortex's minions back to their own dimensions.","Stephen Jarrett,","Corey Burton, Debi Derryberry, John DiMaggio, Greg Eagles",E
2025,The Messenger,"Action, Adventure, Comedy",7.7,156,,2018,"After a young ninja's home town is destroyed by demons, he is tasked by the legendary Western Hero to deliver a mystical scroll to the top of a mountain.",,Thierry Boulanger,E10+
2026,Tekken Tag Tournament,"Action, Fantasy, Sci-Fi",7.9,"1,208",,1999,Choose amongst 35 characters and battle in teams of two. Non-canon Tekken game also featuring new modes.,,"Robert Belgrade, Isshin Chiba, Banjô Ginga, Daisuke Gôri",T
2027,Quake III: Arena,"Action, Sci-Fi",7.9,"1,943",,1999,"Quake III is a first-person shooter focusing exclusively on multiplayer arena fighting, adding an extensive customizability of player settings.",,"Richard Ridings, Frances White, Lewis Macleod, Karina Fernandez",M
2028,Justice League Heroes,"Action, Adventure, Fantasy",7.9,480,,2006,Centers around the Justice League as they try to stop Brainiac from destroying humanity.,"Brigitte Burdine, Adam Tierney,","Crispin Freeman, Ron Perlman, Courtenay Taylor, Chris Edgerly",T
2029,Resident Evil: Survivor,"Action, Horror, Mystery",5.2,525,,2000,"An uncontrollable outbreak of the Umbrella created T-Virus occured in Raccoon city. To stop the outbreak from spreading further, Umbrella was forced to wipe out the city. However, this was not the only location where an outbreak occurred.","Hiroyuki Kai,","Patrick Harlan, Colleen Lanki, Ruth Hollyman, Michael Naishtut",M
2030,Crackdown 3,"Action, Adventure, Crime",5.8,243,,2019,Ten years after the events of,"Gareth Wilson, Jim Woods, Blade Zavier,","Terry Crews, Michael McConnohie, Ulka Simone Mohanty, Kirsten Potter",M
2031,The Polar Express,"Action, Adventure, Family",6.2,199,,2004,"A young boy, whose faith in Santa Claus is waivering, awakes on Christmas Eve to the sounds of The Polar Express, a magic steam train, in his front yard. The conductor, urges the boy to take the ride to the North Pole.","Douglas Carrigan,","Jim Hanks, Daryl Sabara, Nona Gaye, Chantel Valdivieso",E
2032,Marvel Super Hero Squad Online,"Action, Adventure, Sci-Fi",7.4,77,,2011,,"Jay Minn,","Charlie Adler, Laura Bailey, Alimi Ballard, Ted Biaselli",E10+
2033,Titanic: Adventure Out of Time,"Action, Adventure, Mystery",8.9,320,,1996,A video game about a british espionage agent sent back in time to a failed mission aboard Titanic. At stake: The fate of the entire world!,,"Kevin Garrett, Erik Sigvard Quist, Stephanie Quist, Lona Livingston",T
2034,Fast and Furious: Showdown,"Action, Family, Thriller",5.8,66,,2013,,"Peter Shea,","Gina Carano, Luke Evans, Sung Kang, Tego Calderon",T
2035,Naruto Shippûden: Ultimate Ninja Storm Revolution,Action,7.1,361,,2014,The townspeople are going about their daily business on the streets of the Leaf Village when someone suddenly appears and starts sending them flying.,"Yohei Ishibashi, Takahiro Yano, Hiroshi Matsuyama,","Junko Takeuchi, Chie Nakamura, Satoshi Hino, Kazuhiko Inoue",T
2036,Metroid Prime 3: Corruption,"Action, Adventure, Mystery",8.5,"1,033",,2007,"Upon becoming leader of the Space Pirates, Dark Samus launches meteoric Phazon Seeds at 3 planets crucial to the Galactic Federation. After being infected by phazon, Samus and her fellow bounty hunters set out to counter Dark Samus' forces.","Mark Pacini, Bryan Walker,","Troy Baker, Lainie Frasier, Gray G. Haddock, Claire Hamilton",T
2037,Sonic Adventure 2: Battle,"Action, Adventure, Fantasy",8.8,59,,2001,A remake of 'Sonic Adventure 2' for the Nintendo Gamecube.,,Takashi Iizuka,E
2038,Eraser - Turnabout,"Action, Adventure, Crime",7.1,20,,1997,"In this sequel to 1996 film Eraser, you take the role of the film's protagonist Witness Protection specialist and U.S. Marshal John 'The Eraser' Kruger. You must uncover a new conspiracy, shoot a lot of terrorists and solve a few puzzles.","Doug Heinlein, Ken Berris, Howard A. Tullman,","Sal Viscuso, William Utay, John DeMita, Michael Gregory",
2039,Lula 3D,"Action, Adventure, Comedy",3.9,33,,2005,Ditzy blonde porn star Lula goes on an epic quest to save her kidnapped triplet friends which turns into a bizarre treasure hunt. She also meets a pretty redhead female outlaw.,,nan,AO
2040,Syphon Filter: The Omega Strain,"Action, Adventure, Thriller",6,118,,2004,"Gabe Logan is now in charge of the Agency and it's about time too. The Syphon Filter virus is radiply spreading all over the world, and Gabe must hire new recruits to eliminate the terrorists responsible for launching the outbreaks. Gabe also has to locate Mara Aramov, who's vital to preventing World War III. The only way to stop the virus forever is to locate the mysterious person behind the conspiracy from the beginning.",,"James Arnold Taylor, Kim Mai Guest, Shannon Tilton, Khary Payton",M
2041,Sonic the Hedgehog,"Animation, Action, Adventure",7.5,282,,1991,"Dr. Ivo Robotnik is working to take over South Island from his Sky Base and gather the 6 Chaos Emeralds, having kidnapped all of the island's animal habitants to turn them into robots called Badniks to do his dirty work. Hearing of Robotnik's plot, Sonic the Hedgehog heads to South Island to save his animal friends.",,nan,E
2042,Free Fire,"Action, Drama, Thriller",4.6,654,,2017,"Free Fire is the ultimate survival shooter game available on mobile. Each 10-minute game places you on a remote island where you are pit against 49 other players, all seeking survival. Players freely choose their starting point with their parachute, and aim to stay in the safe zone for as long as possible. Drive vehicles to explore the vast map, hide in trenches, or become invisible by proning under grass. Ambush, snipe, survive, there is only one goal: to survive and answer the call of duty.",,"Katie Beudert, Mike Bodie, Bonnie Bogovich, Amber Lee Connors",T
2043,Harry Potter for Kinect,"Action, Adventure, Fantasy",5.2,43,,2012,"Enter the magical world of Harry Potter like you've never seen it before. Join Harry on his quest to defeat Voldemort throughout iconic scenes from all seven films. Fight alongside (or against) your favorite characters as a custom witch or wizard, brew memorable potions in Snape's dungeon, care for Mandrakes, and much much more. Are you ready to start your adventure?","Mike Botham,","Gregg Chilingirian, Eiry Hughes, Joe Dixon, Charlie Hayes",E10+
2044,Sacrifice,"Action, Adventure, Fantasy",7.8,131,,2000,"The Wizard Eldred flees from his destroyed homeworld and the demon that destroyed it and ends up on a new world ruled by five gods. The gods are preparing for world war with eachother and Eldred pledges his allegiance to them in exchange for power and a sanctuary. Things change however, when the demon that destroyed Eldreds old home arrives to the new world and a desperate hunt for the destroyer begins. This incites the war into total chaos threatening to destroy the world. Eldred is the cause of catastrophies past, and must fight to prevent the very same oblivion to occur again.",,"Grey Griffin, Johnathon Cook, Tim Curry, Bill Farmer",
2045,Dead or Alive Xtreme 2,"Action, Sport",6,149,,2006,"Taking place after the conclusion of Dead or Alive 4. After Zack and Niki finds the treasures from the undead Egyptian pharaoh, they use the newfound wealth that they obtained and while inside a submarine, Zack and Niki managed to find the remains of Zack Island buried under the ocean. They activate the satellite-like beam from the atmosphere and the beams revives Zack Island which is now New Zack Island as they are both back in business. At this point, the DOA girls were all invited to New Zack Island what they thought would be another DOA tournament. Unfortunately, it is the same as before from the previous Zack Island where they are taking another summer vacation. This time, the DOA girls can now play even more sports activities alongside Beach Volleyball and Pool Hopping. They now have a Marine Race where the girls control watercrafts. Then, there are two new games in the pool which are Butt Battle and Tug-of-War. A Waterslide where the girls rides the 70 meters tall, large roller-coaster tube slides from top to bottom. And finally, Beach Flag where the girls lay down on the sand and then run to grab the flag. When its nighttime, the girls go back to the Hotels with 1 of 3 to choose from. Inside, the girls can go to the Casino and gamble with Blackjack, Poker, Roulette and Slot Machine. All of this will last for 2 weeks till then. Kokoro is the new addition to this installment of DOAX.","Katsunori Ehara,","Houko Kuwashima, Yui Horie, Wakana Yamazaki, Yûko Nagashima",M
2046,Corpse Killer,"Action, Adventure, Horror",5.7,94,,1994,"An elite special forces soldier, who parachutes onto a remote tropical island for a special mission. It seems the evil genius Dr. Hellman has found a way to raise the dead, and created an island of zombies. It's up to you to shoot your way through the undead hordes and stop Dr. Hellman.","John Lafia,","Vincent Schiavelli, Jeremiah Birkett, Bridget Butler, John Cassini",M
2047,Tunic,"Action, Adventure, Fantasy",7.5,205,,2022,"Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure. Stranded on a mysterious beach, armed with only your own curiosity, you will confront colossal beasts, collect strange and powerful items, and unravel long-lost secrets.",,nan,E10+
2048,Naruto: Ultimate Ninja Storm,"Animation, Action, Adventure",7,309,,2008,"Years, ago Nine Tails a demonic fox destroyed the Leaf Village. The Fourth Hokage sacrificed himself and sealed the Nine Tails inside a boy, Uzumaki Naruto. When Naruto grew up the village hated him because of the Nine Tails that is sealed inside him. Naruto's wish is to become Hokage and to be acknowledged by the village.","Hiroshi Matsuyama,","Junko Takeuchi, Maile Flanagan, Noriaki Sugiyama, Yuri Lowenthal",T
2049,The Ascent,"Action, Sci-Fi",6.6,150,,2021,"The Ascent is a solo and co-op Action-shooter RPG, set on Veles, a packed cyberpunk world. Welcome to The Ascent Group arcology, a corporate-run metropolis stretching high into the sky and filled with creatures from all over the galaxy. You play as a worker, enslaved by the company that owns you and everyone else in your district. One day, you are suddenly caught in a vortex of catastrophic events: The Ascent Group shuts down for unknown reasons and the survival of your district is threatened. You must take up arms and embark on a new mission to find out what started it all.","Arcade Berg,","Kosha Engler, Sam S. Hughes, Jaimi Barbakoff, Anna Demetriou",M
2050,Rayman Raving Rabbids TV Party,"Action, Adventure, Comedy",5.8,140,,2008,The rabbids are back in a new funny minigames. They go into the best top movies and songs to give it a try. The rabbids does the thing they're ment to do.,"Cédric Royer,","David Gasman, Yoann Perrier, Marcel Popo, Scott Reyns",E10+
2051,Kirby's Epic Yarn,Action,7.8,781,,2010,"Kirby is banished into Patch Land, a world completely made of fabric, and must collect seven pieces of magic yarn that will restore the torn kingdom.","Kentaro Sei,","Makiko Ômoto, Tomoko Nakamura, Pablo Magaz, France Marien",E
2052,Balls of Glory,"Action, Adventure, Comedy",6.4,8,,2015,Relive four animated Fox shows in this pinball expansion pack.,,"Dee Bradley Baker, H. Jon Benjamin, Alex Borstein, Scott Grimes",E10+
2053,Chicken Invaders,"Action, Adventure, Comedy",7.5,57,,1999,"After centuries of human oppression the chickens have had enough. With the aid of kin from another galaxy, they have begun attacking Earth's defenses. You, a pilot who just wants to get a hamburger, are Earth's final hope for survival.",,nan,
2054,Hill Climb Racing,"Action, Adventure, Sport",6.6,180,,2012,"A hillbilly named Bill Newton drives his car, climbing hills and collecting coins and fuel while always keeping a watchful eye on his head and the fuel gauge.",,nan,E
2055,Battlefield 1942,"Action, Adventure, War",8,"1,428",,2002,"In Battlefield 1942, players are dropped into the middle of a World War II battlefield and forced to find a path to victory both for them and for the soldiers on their side.","Johan Persson,","Malcolm Sherwood, Patti Tauscher, Marc Farly, Ken Felton",T
2056,Teenage Mutant Ninja Turtles III: The Manhattan Project,"Action, Adventure, Sci-Fi",7.6,376,,1991,"The Teenage Mutant Ninja Turtles take a relaxing vacation in Key West, Florida. One day while watching April O'Neil's news broadcast, Shredder appears, captures April and suddenly causes Manhattan Island to raise high into the air.",,nan,
2057,Final Fantasy IV,"Action, Adventure, Fantasy",8.4,"1,850",,1991,A dark knight questions the ruthless actions of his king and undergoes a quest to redeem himself and save the world.,,Hironobu Sakaguchi,Unrated
2058,Super Mario Maker,"Action, Adventure, Family",8.1,"1,018",,2015,Create your very own Mario Brothers levels in this new Mario Paint inspired level creator. You can even play as characters from other video game franchises with the amiibo support.,"Yosuke Oshino, Yoshikazu Yamashita,","Shin'ya Arino, Shintarô Asanuma, Babymetal, Nate Bihldorff",E
2059,SpongeBob SquarePants: SuperSponge,"Action, Adventure, Family",7.1,213,,2001,"It's Patrick Star's birthday, and SpongeBob must undertake challenges so he can get what he wants for Patrick - autographs of Mermaid Man and Barnacle Boy.",,"Ernest Borgnine, Tim Conway, Brian Doyle-Murray, Tom Kenny",E
2060,The Legend of Zelda: A Link Between Worlds,"Action, Adventure, Fantasy",8.8,"1,747",,2013,Link is yet again tasked with restoring peace to the kingdom of Hyrule after a malevolent sorcerer named Yuga captures Princess Zelda and escapes through a rift to the ruined world of Lorule.,"Hiromasa Shikata,","Mitsuki Saiga, Ayumi Fujimura, Seiro Ogino, Kei Hayami",E
2061,The Legend of Zelda: Link's Awakening,"Action, Adventure, Family",8.2,877,,2019,Remake of the Game Boy title,"Mikiharu Oiwa,","Mitsuki Saiga, Yuko Natsuyoshi, Kazuya Ichijô, Kosuke Takaguchi",E
2062,Hungry Shark Evolution,"Action, Adventure, Comedy",7.3,97,,2012,"Control a variety of sharks as they travel the ocean. You have to eat to stay alive, but there are hazards everywhere which will stop you in your tracks.",,nan,T
2063,Overkill's The Walking Dead,"Action, Adventure, Horror",4.5,65,,2018,"A four player co-op action FPS where you fight the dead as well as the living. Set in The Walking Dead Universe, you and your group try to survive in a post-apocalyptic Washington D.C.",,"Warren Burke, Stephanie Sheh, William Hope, Kari Wahlgren",
2064,Primeval Evolved,Action,8.2,17,,2009,Primeval Evolved was an online game of the ITV series Primeval.,"Anthony Mullins,","Lucy Brown, Douglas Henshall, Ben Mansfield, Ben Miller",
2065,Singularity,"Action, Sci-Fi, Thriller",7.6,913,,2010,A U.S. Marine captain unravels a mysterious conspiracy while investigating a time anomaly on a remote island in former Soviet Union.,"Michael McCormick,","Nolan North, Steve Blum, Kari Wahlgren, Graham McTavish",18
2066,Crackdown 2,"Action, Adventure, Crime",6.3,284,,2010,Ten years after the events of,"Billy Thomson,","Guilford Adams, Maria Bamford, Rodger Bumpass, Patrick Cavanaugh",M
2067,Super Contra,"Action, Adventure, Sci-Fi",7.4,292,,1987,"One year after the events of Contra, the aliens return and invade an allied base. Bill and Lance are not only fighting their mortal enemy Red Falcon, they must now face off against their former comrades.",,Hideyuki Tsujimoto,
2068,Plants vs. Zombies Garden Warfare,"Action, Adventure, Family",6.9,412,,2014,Plants vs. Zombies Garden Warfare is third person shooter where you can Blast zombies and plants across a mine-blowing world that delivers the depth of a traditional online shooter blended with the refreshing humor of Plants vs. Zombies.,,"Orion Acaba, Eddie García",E10+
2069,Scratchin' Melodii,"Action, Adventure, Comedy",,,,2021,"In this game, you're playing as the young DJ and musician, Melodii. After getting caught doing graffiti, they've gotta scratch up some melodies to pay debt for their felonies. Defeat your rivals to get to your jobs (Bosses) on time.","LJ LephemStar,",Meggie-Elise,
2070,Age of Empires,"Action, Adventure, History",8.2,"2,380",,1997,"Lead an ancient culture from the Stone Age to the Iron Age, forge a civilisation, and destroy your enemies.",,Bruce Shelley,T
2071,Company of Heroes 3,"Action, Adventure, War",8.4,11,,2023,,"Terri Douglas, David Littman,","James Alexander, Timothy Blore, Drew Cain, Giulio Cavazzini",18
2072,WCW/NWO Revenge,"Action, Sport",8.5,167,,1998,The sequel wrestling game to,,"Yoshihiro Asai, Chris Benoit, Eric Bischoff, Steve Borden",E
2073,Spore,"Action, Adventure, Family",6.8,887,,2008,"From microbe to intergalactic life form, decide the fate of a species of your creation. Evolve through five main stages of life.","Will Wright,","Dee Bradley Baker, Deborah Ben-Eliezer, Carlo Bonomi, Andrew Chaikin",E10+
2074,Dino Crisis 3,"Action, Adventure, Horror",5.7,179,,2003,"It is the year 2548, more than 300 years since Earth lost contact with the colony ship Ozymandias. Somehow, the ship has reappeared near Jupiter. A team is sent aboard the probe ship Seyfert to investigate.","Hiroyuki Maruhama, Tetsuro Oyama,","Michael Yurchak, Kevin Killebrew, Vanessa Marshall, Wally Wingert",M
2075,Ms. Pac-Man,"Action, Family, Fantasy",7.8,622,,1982,This update to,,nan,
2076,"Pokémon: Let's Go, Pikachu!","Action, Adventure, Family",7.3,495,,2018,Return to the Kanto region and experience a classic Pokémon journey in a whole new way.,"Junichi Masuda,","Ikue Ôtani, Aoi Yûki",E
2077,Transformers Universe,"Action, Sci-Fi",6.3,32,,2014,,,"Peter Cullen, Troy Baker, Frank Welker, Steve Blum",
2078,Teenage Mutant Ninja Turtles 2: Battle Nexus,"Action, Adventure, Comedy",7.2,130,,2004,The sequel to,"Naomi Kaneda,","Gregory Abbey, Nell Balaban, J. David Brimmer, Greg Carey",T
2079,Rome: Total War,"Action, Adventure, War",8.7,"1,731",,2004,"Rome: Total War is a strategy game set during the mid and late Roman Republic and early Roman Empire, with the player assuming control of one of three Roman families.","Michael E. Simpson,","Jonathan Atherton, George Baladinos, Andrew Buchanan, Adam John Cooper",T
2080,Fallout: New Vegas - Old World Blues,"Action, Adventure, Sci-Fi",8.1,136,,2011,"After being transported to the Big MT research crater, you find you're the only hope of saving the Think Tank - the strange group of post-human researchers who inhabit the facility.",,Chris Avellone,
2081,Castlevania: Lords of Shadow - Mirror of Fate,"Action, Adventure, Fantasy",7.2,342,,2013,"Set twenty-five years after the events of Castlevania: Lords of Shadow, Mirror of Fate recounts the story of Gabriel's descendants, as they battle their own destiny in each era only to discover their true, shocking fate.","José Luis Márquez,","Richard Madden, Robert Carlyle, Adrian Schiller, Alec Newman",M
2082,Metal Gear Survive,"Action, Adventure, Horror",1.9,355,,2018,"After the destruction of Mother Base, surviving soldiers of the Militaires Sans Frontières have been transported to a nightmarish world, populated with crystalline zombie-like entities known simply as ""creatures"".","Youta Tsutsumizaki, Masaya Kobayashi, Ryo Nagatsuka, Tsuyoshi Osada,","Ananda Jacobs, Daniel Duncan, Crispin Freeman, Joel Johnstone",M
2083,Scooby-Doo! Unmasked,"Action, Adventure, Comedy",7.1,124,,2005,A game where Scooby Doo and friends go on an adventure in a haunted house. They meet many friends along the way giving Scooby gadgets to solve puzzles. You uncover bad guys by solving clues found in the haunted house.,"Nathalie Jasmin, Nathalie Mathieu,","Scott Innes, Frank Welker, Grey Griffin, Mindy Cohn",
2084,Killzone 3,"Action, Sci-Fi, War",7.8,"1,725",,2011,Following the events after,"Mathijs de Jonge, Jim Sonzero,","Brian Cox, Ray Winstone, Malcolm McDowell, James Remar",M
2085,Shrek Forever After: The Game,"Action, Adventure, Comedy",7,117,,2010,"Gamers adventure through locations from the Shrek universe, solve puzzles and battle new enemies as they morph between Shrek's normal world and his alternate reality and ultimately conquer that crafty Rumpelstiltskin.","Tony Wang,","Michael Gough, Holly Fields, Mark Moseley, André Sogliuzzo",E10+
2086,Chernobylite,"Action, Adventure, Fantasy",6.6,77,,2019,"Chernobylite is a science-fiction survival horror experience, mixing the free exploration of its disturbing world with challenging combat, unique crafting, and non-linear storytelling.","Artur Fojcik, Wojciech Pazdur,","Elizabeth Hales, Ian Russell, Phillip Sacramento, Guy Slocombe",M
2087,The Lord of the Rings Online,"Action, Adventure, Fantasy",7.8,547,,2007,Explore and quest throughout all of Middle-earth as you aid in the battle against forces of evil.,"Randall Ryan, Ali Donovan,","Alexander Brandon, Harry Chase, Chris Edgerly, Erin Fitzgerald",T
2088,Tom yum goong: The game,Action,6.6,160,,2005,,"Prachya Pinkaew,",Tony Jaa,
